scaling,analysis,layer,method,workers,effective_workers,complexity,total_points,repeats,median_wall_s,median_total_cpu_s,median_aggregate_rss_kb,throughput_points_s,effective_cpu
weak,dc,solver_only,ngspice_optimized_independent,256,256,21,256000,3,1104.5612713729497,27598.19,3035136.0,231.76622848798294,24.985657849198304
weak,dc,solver_only,ngspice_optimized_reuse,1,1,21,1000,3,110.98115515406244,110.9,16704.0,9.010538758691188,0.9992687483388529
weak,dc,solver_only,ngspice_optimized_reuse,2,2,21,2000,3,111.57440335000865,222.84,33408.0,17.92525830253382,1.9972322800683184
weak,dc,solver_only,ngspice_optimized_reuse,4,4,21,4000,3,113.53313016984612,452.16999999999996,66832.0,35.23200667519675,3.9827141145809284
weak,dc,solver_only,ngspice_optimized_reuse,8,8,21,8000,3,119.87221788405441,951.11,133688.0,66.73773240550155,7.934365583524572
weak,dc,solver_only,ngspice_optimized_reuse,16,16,21,16000,3,125.90353512996808,1972.43,267332.0,127.08141978287958,15.666200301396575
weak,dc,solver_only,ngspice_optimized_reuse,32,32,21,32000,3,125.51258957013488,3945.2,534728.0,254.9545038437662,31.43270339263832
weak,dc,solver_only,ngspice_optimized_reuse,64,64,21,64000,3,133.12705375999212,8287.72,1069404.0,480.7437571283016,62.25421329417761
weak,dc,solver_only,ngspice_optimized_reuse,128,128,21,128000,3,141.6900257440284,16732.02,2138804.0,903.3804555250753,118.08890507386461
weak,dc,solver_only,ngspice_optimized_reuse,192,192,21,192000,3,268.5969783940818,41155.66,3208152.0,714.825614003372,153.22458296465638
weak,dc,solver_only,ngspice_optimized_reuse,256,256,21,256000,3,277.9467413958628,64783.17,4277544.0,921.0397600430748,233.07763809230357
